Part,Color,Num
56902,71,8
61254,0,12
40620,71,2
4176,41,1
4176,40,2
4176,47,2
52031,0,2
52031,1,1
52031,15,1
4865b,0,10
4865b,4,10
4865b,71,10
4865b,15,10
4070,71,10
4070,15,4
50950,0,4
50950,72,4
85984,72,4
50746,72,10
2431,0,2
2431,7,2
2412b,15,12
2412b,72,12
3795,15,6
60212,15,8
60212,4,4
2437,47,2
2437,40,5
45677,15,5
45677,1,4
45677,0,4
30413,313,4
30413,72,4
30413,15,4
30413,71,2
50746,4,10
50746,36,10
50746,46,10
50746,182,8
2412b,71,20
14520,4,6
14520,72,10
